method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
CL,reentrancy,fn_noise,0.1,0.1,0.4067796610169491,0.2823529411764706,0.7272727272727273,0.6534653465346535,24,108,61,9,0.1
CL,reentrancy,fn_noise,0.2,0.2,0.41739130434782606,0.2926829268292683,0.7272727272727273,0.6683168316831684,24,111,58,9,0.2
CL,reentrancy,fn_noise,0.3,0.3,0.41818181818181815,0.2987012987012987,0.696969696969697,0.6831683168316832,23,115,54,10,0.3
CL,reentrancy,pure,0.0,0.0,0.4067796610169491,0.2823529411764706,0.7272727272727273,0.6534653465346535,24,108,61,9,0.0
CL,time_dependency,diff_noise,diff,diff,0.5806451612903225,0.42857142857142855,0.9,0.796875,9,42,12,1,inf
CL,time_dependency,fn_noise,0.1,0.1,0.5294117647058825,0.375,0.9,0.75,9,39,15,1,0.1
CL,time_dependency,fn_noise,0.2,0.2,0.5142857142857143,0.36,0.9,0.734375,9,38,16,1,0.2
CL,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
CL,time_dependency,pure,0.0,0.0,0.5142857142857143,0.36,0.9,0.734375,9,38,16,1,0.0
CLC,dos_failed_call,diff_noise,diff,diff,0.2608695652173913,0.15,1.0,0.15,6,0,34,0,inf
CLC,dos_failed_call,fn_noise,0.1,0.1,0.2608695652173913,0.15,1.0,0.15,6,0,34,0,0.1
CLC,dos_failed_call,fn_noise,0.2,0.2,0.2608695652173913,0.15,1.0,0.15,6,0,34,0,0.2
CLC,dos_failed_call,fn_noise,0.3,0.3,0.2608695652173913,0.15,1.0,0.15,6,0,34,0,0.3
CLC,dos_failed_call,pure,0.0,0.0,0.2608695652173913,0.15,1.0,0.15,6,0,34,0,0.0
CLC,integer_overflow,diff_noise,diff,diff,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,inf
CLC,integer_overflow,fn_noise,0.1,0.1,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,0.1
CLC,integer_overflow,fn_noise,0.2,0.2,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,0.2
CLC,integer_overflow,fn_noise,0.3,0.3,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,0.3
CLC,integer_overflow,pure,0.0,0.0,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,0.0
CLC,reentrancy,diff_noise,diff,diff,0.28085106382978725,0.16336633663366337,1.0,0.16336633663366337,33,0,169,0,inf
CLC,reentrancy,fn_noise,0.1,0.1,0.28085106382978725,0.16336633663366337,1.0,0.16336633663366337,33,0,169,0,0.1
CLC,reentrancy,fn_noise,0.2,0.2,0.28085106382978725,0.16336633663366337,1.0,0.16336633663366337,33,0,169,0,0.2
CLC,reentrancy,fn_noise,0.3,0.3,0.28085106382978725,0.16336633663366337,1.0,0.16336633663366337,33,0,169,0,0.3
CLC,reentrancy,pure,0.0,0.0,0.28085106382978725,0.16336633663366337,1.0,0.16336633663366337,33,0,169,0,0.0
CLC,time_dependency,diff_noise,diff,diff,0.2702702702702703,0.15625,1.0,0.15625,10,0,54,0,inf
CLC,time_dependency,fn_noise,0.1,0.1,0.2702702702702703,0.15625,1.0,0.15625,10,0,54,0,0.1
CLC,time_dependency,fn_noise,0.2,0.2,0.2702702702702703,0.15625,1.0,0.15625,10,0,54,0,0.2
CLC,time_dependency,fn_noise,0.3,0.3,0.2702702702702703,0.15625,1.0,0.15625,10,0,54,0,0.3
CLC,time_dependency,pure,0.0,0.0,0.2702702702702703,0.15625,1.0,0.15625,10,0,54,0,0.0
FedAvg,dos_failed_call,diff_noise,diff,diff,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.725,4,25,9,2,inf
FedAvg,dos_failed_call,fn_noise,0.1,0.1,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.725,4,25,9,2,0.1
FedAvg,dos_failed_call,fn_noise,0.2,0.2,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.725,4,25,9,2,0.2
FedAvg,dos_failed_call,fn_noise,0.3,0.3,0.5,0.4,0.6666666666666666,0.8,4,28,6,2,0.3
FedAvg,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
FedAvg,integer_overflow,diff_noise,diff,diff,0.40476190476190477,0.3953488372093023,0.4146341463414634,0.7983870967741935,17,181,26,24,inf
FedAvg,integer_overflow,fn_noise,0.1,0.1,0.4918032786885245,0.37037037037037035,0.7317073170731707,0.75,30,156,51,11,0.1
FedAvg,integer_overflow,fn_noise,0.2,0.2,0.47619047619047616,0.390625,0.6097560975609756,0.7782258064516129,25,168,39,16,0.2
FedAvg,integer_overflow,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8346774193548387,0,207,0,41,0.3
FedAvg,integer_overflow,pure,0.0,0.0,0.4918032786885245,0.37037037037037035,0.7317073170731707,0.75,30,156,51,11,0.0
FedAvg,reentrancy,diff_noise,diff,diff,0.0,0.0,0.0,0.8267326732673267,0,167,2,33,inf
FedAvg,reentrancy,fn_noise,0.1,0.1,0.44000000000000006,0.3283582089552239,0.6666666666666666,0.7227722772277227,22,124,45,11,0.1
FedAvg,reentrancy,fn_noise,0.2,0.2,0.3142857142857143,0.2972972972972973,0.3333333333333333,0.7623762376237624,11,143,26,22,0.2
FedAvg,reentrancy,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8366336633663366,0,169,0,33,0.3
FedAvg,reentrancy,pure,0.0,0.0,0.4299065420560748,0.3108108108108108,0.696969696969697,0.698019801980198,23,118,51,10,0.0
FedAvg,time_dependency,diff_noise,diff,diff,0.5384615384615384,0.4375,0.7,0.8125,7,45,9,3,inf
FedAvg,time_dependency,fn_noise,0.1,0.1,0.6,0.45,0.9,0.8125,9,43,11,1,0.1
FedAvg,time_dependency,fn_noise,0.2,0.2,0.18181818181818182,1.0,0.1,0.859375,1,54,0,9,0.2
FedAvg,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
FedAvg,time_dependency,pure,0.0,0.0,0.6,0.45,0.9,0.8125,9,43,11,1,0.0
FedCorr,dos_failed_call,diff_noise,diff,diff,0.36363636363636365,0.25,0.6666666666666666,0.65,4,22,12,2,inf
FedCorr,dos_failed_call,fn_noise,0.1,0.1,0.3809523809523809,0.26666666666666666,0.6666666666666666,0.675,4,23,11,2,0.1
FedCorr,dos_failed_call,fn_noise,0.2,0.2,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.75,4,26,8,2,0.2
